date,timestamp,weekday,minute,minute_group,tmo,open,high,low,close,touch
2021-05-03,2021-05-03 09:00:00-04:00,Monday,0,0,13876.75,13899.5,13916.25,13851.0,13874.75,True
2021-05-03,2021-05-03 10:00:00-04:00,Monday,0,0,13876.75,13874.0,13947.5,13837.5,13847.0,True
2021-05-05,2021-05-05 10:00:00-04:00,Wednesday,0,0,13574.5,13596.5,13621.0,13529.25,13613.5,True
2021-05-05,2021-05-05 11:00:00-04:00,Wednesday,0,0,13574.5,13613.25,13630.0,13575.5,13626.0,True
2021-05-05,2021-05-05 12:00:00-04:00,Wednesday,0,0,13574.5,13626.5,13631.5,13566.0,13570.5,True
2021-05-06,2021-05-06 09:00:00-04:00,Thursday,0,0,13473.25,13476.25,13509.0,13424.5,13427.75,True
2021-05-06,2021-05-06 10:00:00-04:00,Thursday,0,0,13473.25,13427.5,13488.0,13388.75,13465.0,True
2021-05-06,2021-05-06 11:00:00-04:00,Thursday,0,0,13473.25,13465.5,13564.0,13407.5,13546.25,True
2021-05-11,2021-05-11 09:00:00-04:00,Tuesday,0,0,13232.75,13085.25,13271.75,13065.25,13270.75,True
2021-05-11,2021-05-11 10:00:00-04:00,Tuesday,0,0,13232.75,13271.0,13279.0,13126.0,13213.25,True
2021-05-11,2021-05-11 11:00:00-04:00,Tuesday,0,0,13232.75,13213.25,13326.0,13165.5,13307.25,True
2021-05-12,2021-05-12 09:00:00-04:00,Wednesday,0,0,13233.75,13158.0,13231.5,13121.25,13157.75,True
2021-05-13,2021-05-13 11:00:00-04:00,Thursday,0,0,13051.0,13200.25,13205.25,13058.0,13079.5,True
2021-05-17,2021-05-17 09:00:00-04:00,Monday,0,0,13350.75,13307.75,13343.0,13263.25,13286.25,True
2021-05-18,2021-05-18 09:00:00-04:00,Tuesday,0,0,13353.25,13365.25,13367.5,13300.0,13327.25,True
2021-05-18,2021-05-18 10:00:00-04:00,Tuesday,0,0,13353.25,13327.5,13396.5,13310.5,13383.5,True
2021-05-18,2021-05-18 11:00:00-04:00,Tuesday,0,0,13353.25,13383.75,13391.75,13327.75,13329.0,True
2021-05-18,2021-05-18 12:00:00-04:00,Tuesday,0,0,13353.25,13329.25,13375.25,13326.25,13357.5,True
2021-05-19,2021-05-19 12:00:00-04:00,Wednesday,0,0,13164.75,13132.75,13172.25,13115.0,13150.5,True
2021-05-21,2021-05-21 09:00:00-04:00,Friday,0,0,13501.75,13524.0,13570.0,13484.5,13542.75,True
2021-05-21,2021-05-21 10:00:00-04:00,Friday,0,0,13501.75,13543.0,13548.5,13443.75,13472.0,True
2021-05-25,2021-05-25 09:00:00-04:00,Tuesday,0,0,13669.0,13703.0,13732.5,13651.0,13652.0,True
2021-05-25,2021-05-25 10:00:00-04:00,Tuesday,0,0,13669.0,13651.5,13686.5,13636.5,13680.0,True
2021-05-25,2021-05-25 11:00:00-04:00,Tuesday,0,0,13669.0,13680.0,13683.75,13606.75,13643.25,True
2021-05-26,2021-05-26 09:00:00-04:00,Wednesday,0,0,13705.25,13700.75,13708.75,13662.0,13671.0,True
2021-05-26,2021-05-26 10:00:00-04:00,Wednesday,0,0,13705.25,13670.75,13713.25,13656.0,13706.75,True
2021-05-26,2021-05-26 11:00:00-04:00,Wednesday,0,0,13705.25,13706.75,13718.0,13679.5,13713.25,True
2021-05-26,2021-05-26 12:00:00-04:00,Wednesday,0,0,13705.25,13713.5,13724.75,13707.5,13711.5,True
2021-05-27,2021-05-27 09:00:00-04:00,Thursday,0,0,13678.0,13661.5,13698.75,13644.0,13655.5,True
2021-05-27,2021-05-27 10:00:00-04:00,Thursday,0,0,13678.0,13655.5,13720.75,13646.25,13683.25,True
2021-05-27,2021-05-27 11:00:00-04:00,Thursday,0,0,13678.0,13683.25,13711.0,13678.0,13708.25,True
2021-05-28,2021-05-28 09:00:00-04:00,Friday,0,0,13700.25,13687.0,13739.75,13684.0,13722.75,True
2021-05-28,2021-05-28 10:00:00-04:00,Friday,0,0,13700.25,13722.25,13732.5,13694.5,13714.75,True
2021-05-28,2021-05-28 11:00:00-04:00,Friday,0,0,13700.25,13715.0,13750.0,13708.0,13749.0,True
2021-06-01,2021-06-01 10:00:00-04:00,Tuesday,0,0,13687.75,13722.5,13732.0,13592.25,13614.5,True
2021-06-02,2021-06-02 09:00:00-04:00,Wednesday,0,0,13643.25,13670.5,13708.5,13651.75,13679.0,True
2021-06-07,2021-06-07 09:00:00-04:00,Monday,0,0,13746.75,13758.5,13764.5,13720.75,13755.0,True
2021-06-07,2021-06-07 10:00:00-04:00,Monday,0,0,13746.75,13754.75,13757.25,13712.5,13752.25,True
2021-06-07,2021-06-07 11:00:00-04:00,Monday,0,0,13746.75,13752.25,13753.5,13717.0,13740.5,True
2021-06-07,2021-06-07 12:00:00-04:00,Monday,0,0,13746.75,13740.5,13764.25,13740.0,13758.0,True
2021-06-08,2021-06-08 09:00:00-04:00,Tuesday,0,0,13834.25,13877.0,13917.25,13831.5,13839.5,True
2021-06-08,2021-06-08 10:00:00-04:00,Tuesday,0,0,13834.25,13839.5,13855.0,13797.5,13808.25,True
2021-06-08,2021-06-08 11:00:00-04:00,Tuesday,0,0,13834.25,13808.25,13825.0,13741.75,13783.25,True
2021-06-08,2021-06-08 12:00:00-04:00,Tuesday,0,0,13834.25,13783.25,13824.5,13777.5,13822.5,True
2021-06-09,2021-06-09 10:00:00-04:00,Wednesday,0,0,13821.0,13872.5,13880.0,13825.25,13847.25,True
2021-06-09,2021-06-09 11:00:00-04:00,Wednesday,0,0,13821.0,13847.25,13866.0,13817.25,13830.0,True
2021-06-09,2021-06-09 12:00:00-04:00,Wednesday,0,0,13821.0,13830.0,13869.0,13825.25,13867.75,True
2021-06-10,2021-06-10 09:00:00-04:00,Thursday,0,0,13833.75,13829.25,13964.75,13811.25,13943.75,True
2021-06-10,2021-06-10 10:00:00-04:00,Thursday,0,0,13833.75,13944.25,13960.5,13825.75,13867.0,True
2021-06-11,2021-06-11 09:00:00-04:00,Friday,0,0,13976.75,13971.0,13985.5,13941.25,13968.75,True
2021-06-11,2021-06-11 10:00:00-04:00,Friday,0,0,13976.75,13967.75,13985.0,13939.25,13954.0,True
2021-06-11,2021-06-11 11:00:00-04:00,Friday,0,0,13976.75,13954.0,13974.25,13932.25,13959.0,True
2021-06-11,2021-06-11 12:00:00-04:00,Friday,0,0,13976.75,13958.75,13968.75,13948.0,13960.5,True
2021-06-14,2021-06-14 09:00:00-04:00,Monday,0,0,14019.0,14018.25,14044.5,13965.25,14028.5,True
2021-06-14,2021-06-14 10:00:00-04:00,Monday,0,0,14019.0,14029.0,14033.25,13988.5,14020.25,True
2021-06-14,2021-06-14 11:00:00-04:00,Monday,0,0,14019.0,14020.25,14042.5,14015.0,14040.0,True
2021-06-16,2021-06-16 09:00:00-04:00,Wednesday,0,0,14036.0,14044.25,14087.5,14040.5,14079.5,True
2021-06-16,2021-06-16 11:00:00-04:00,Wednesday,0,0,14036.0,14060.0,14063.0,14023.75,14025.25,True
2021-06-16,2021-06-16 12:00:00-04:00,Wednesday,0,0,14036.0,14025.25,14029.0,13975.75,14016.5,True
2021-06-17,2021-06-17 09:00:00-04:00,Thursday,0,0,13903.25,13912.5,14033.5,13904.25,14024.75,True
2021-06-21,2021-06-21 09:00:00-04:00,Monday,0,0,14002.25,14067.5,14072.25,13958.5,14057.25,True
2021-06-22,2021-06-22 09:00:00-04:00,Tuesday,0,0,14137.5,14128.0,14176.75,14107.5,14142.5,True
2021-06-22,2021-06-22 10:00:00-04:00,Tuesday,0,0,14137.5,14143.0,14184.75,14121.0,14170.0,True
