date,tmo
2022-03-24,14518.75
2022-03-25,14749.0
2022-03-28,14693.5
2022-03-29,14968.75
2022-03-30,15218.25
2022-03-31,15146.0
2022-04-01,14923.5
2022-04-04,14849.0
2022-04-05,15147.75
2022-04-06,14793.5
2022-04-07,14450.0
2022-04-08,14544.0
2022-04-11,14229.75
2022-04-12,13924.75
2022-04-13,14040.25
2022-04-14,14259.5
2022-04-18,13767.5
2022-04-19,13992.75
2022-04-20,14122.25
2022-04-21,14083.0
2022-04-22,13682.25
2022-04-25,13305.5
2022-04-26,13573.5
2022-04-27,13066.75
2022-04-28,13179.25
2022-04-29,13332.75
2022-05-02,12946.0
2022-05-03,13125.75
2022-05-04,13099.75
2022-05-05,13522.0
2022-05-06,12871.5
2022-05-09,12595.75
2022-05-10,12307.75
2022-05-11,12443.25
2022-05-12,12017.5
2022-05-13,12113.25
2022-05-16,12289.25
2022-05-17,12311.0
2022-05-18,12501.0
2022-05-19,11938.5
2022-05-20,11982.0
2022-05-23,11959.25
2022-05-24,11872.25
2022-05-25,11886.25
2022-05-26,11913.5
2022-05-27,12252.75
2022-05-30,12787.0
2022-05-31,12752.75
2022-06-01,12682.0
2022-06-02,12560.25
2022-06-03,12890.75
2022-06-06,12632.0
2022-06-07,12530.25
2022-06-08,12657.5
2022-06-09,12600.5
2022-06-10,12309.5
2022-06-13,11624.0
2022-06-14,11425.5
2022-06-15,11409.75
2022-06-16,11684.5
2022-06-17,11226.25
2022-06-20,11369.5
2022-06-21,11487.0
2022-06-22,11465.25
2022-06-23,11526.75
2022-06-24,11813.0
2022-06-27,12207.25
2022-06-28,12023.0
2022-06-29,11692.75
2022-06-30,11652.25
2022-07-01,11420.75
2022-07-04,11533.75
2022-07-05,11654.25
2022-07-06,11823.5
2022-07-07,11892.0
2022-07-08,12078.25
2022-07-11,12049.25
2022-07-12,11815.25
2022-07-13,11807.25
2022-07-14,11746.5
2022-07-15,11853.5
2022-07-18,12099.75
2022-07-19,11925.5
2022-07-20,12347.75
2022-07-21,12432.25
2022-07-22,12548.5
2022-07-25,12416.25
2022-07-26,12310.5
2022-07-27,12277.75
2022-07-28,12561.25
2022-07-29,12889.75
2022-08-01,12916.25
2022-08-02,12910.25
2022-08-03,12927.0
2022-08-04,13238.0
2022-08-05,13371.25
2022-08-08,13213.25
2022-08-09,13222.25
2022-08-10,13012.75
2022-08-11,13443.25
2022-08-12,13343.5
2022-08-15,13545.5
2022-08-16,13663.25
2022-08-17,13646.25
2022-08-18,13472.5
2022-08-19,13499.75
2022-08-22,13207.0
2022-08-23,12933.5
2022-08-24,12844.0
2022-08-25,12964.0
2022-08-26,13151.25
2022-08-29,12482.25
2022-08-30,12529.25
2022-08-31,12439.75
2022-09-01,12136.25
2022-09-02,12276.75
2022-09-05,12118.5
2022-09-06,12165.25
2022-09-07,11961.0
2022-09-08,12269.0
2022-09-09,12387.5
2022-09-12,12585.0
2022-09-13,12833.5
2022-09-14,12132.5
2022-09-15,12229.0
2022-09-16,11902.75
2022-09-19,11883.5
2022-09-20,12056.25
2022-09-21,11940.75
2022-09-22,11610.25
2022-09-23,11536.0
2022-09-26,11321.0
2022-09-27,11400.5
2022-09-28,11234.75
2022-09-29,11536.75
2022-09-30,11194.75
2022-10-03,10990.5
2022-10-04,11398.5
2022-10-05,11586.0
2022-10-06,11694.25
2022-10-07,11529.75
2022-10-10,11046.5
2022-10-11,10936.5
2022-10-12,10868.5
2022-10-13,10850.5
2022-10-14,11167.25
2022-10-17,10784.5
2022-10-18,11297.25
2022-10-19,11331.25
2022-10-20,11029.75
2022-10-21,11024.75
2022-10-24,11376.75
2022-10-25,11482.75
2022-10-26,11493.75
2022-10-27,11498.25
2022-10-28,11159.5
2022-10-31,11569.0
2022-11-01,11490.75
2022-11-02,11372.5
2022-11-03,10980.0
2022-11-04,10745.5
2022-11-07,10864.0
2022-11-08,11005.75
2022-11-09,11129.0
2022-11-10,10878.0
2022-11-11,11655.25
2022-11-14,11789.25
2022-11-15,11804.75
2022-11-16,11865.5
2022-11-17,11748.75
2022-11-18,11725.0
2022-11-21,11679.75
2022-11-22,11604.5
2022-11-23,11728.25
2022-11-24,11895.75
2022-11-25,11914.25
2022-11-28,11686.0
2022-11-29,11667.75
2022-11-30,11540.5
2022-12-01,12058.75
2022-12-02,12024.5
2022-12-05,11992.25
2022-12-06,11805.5
2022-12-07,11589.5
2022-12-08,11490.0
2022-12-09,11678.25
2022-12-12,11557.0
2022-12-13,11815.0
2022-12-14,11998.0
2022-12-15,11855.75
2022-12-16,11446.0
2022-12-19,11364.25
2022-12-20,11078.25
2022-12-21,11211.5
2022-12-22,11370.0
2022-12-23,11058.25
2022-12-27,11163.25
2022-12-28,10925.0
2022-12-29,10804.0
2022-12-30,11022.5
2023-01-03,11022.25
2023-01-04,10983.0
2023-01-05,10983.0
2023-01-06,10874.25
2023-01-09,11173.75
2023-01-10,11145.0
2023-01-11,11276.5
2023-01-12,11487.0
2023-01-13,11491.5
2023-01-16,11617.75
2023-01-17,11545.25
2023-01-18,11645.0
2023-01-19,11468.75
2023-01-20,11399.0
2023-01-23,11667.0
2023-01-24,11929.75
2023-01-25,11818.75
2023-01-26,11916.0
2023-01-27,12033.5
2023-01-30,12179.25
2023-01-31,11938.0
2023-02-01,12106.75
2023-02-02,12540.0
2023-02-03,12656.0
2023-02-06,12567.0
2023-02-07,12531.0
2023-02-08,12787.5
2023-02-09,12577.0
2023-02-10,12389.5
2023-02-13,12285.25
2023-02-14,12524.25
2023-02-15,12564.75
2023-02-16,12779.5
2023-02-17,12413.5
2023-02-20,12395.0
2023-02-21,12345.0
2023-02-22,12129.0
2023-02-23,12206.25
2023-02-24,12176.75
2023-02-27,12031.0
2023-02-28,12106.0
2023-03-01,12071.25
2023-03-02,11904.25
2023-03-03,12033.0
2023-03-06,12341.25
2023-03-07,12367.5
2023-03-08,12162.0
2023-03-09,12204.25
2023-03-10,11936.75
2023-03-13,12050.0
2023-03-14,12115.75
2023-03-15,12348.25
2023-03-16,12430.0
2023-03-17,12720.5
2023-03-20,12667.25
2023-03-21,12695.0
2023-03-22,12875.0
2023-03-23,12770.25
2023-03-24,12861.5
2023-03-27,12950.75
2023-03-28,12809.0
2023-03-29,12774.0
2023-03-30,12943.0
2023-03-31,13130.0
2023-04-03,13216.0
2023-04-04,13244.5
2023-04-05,13226.0
2023-04-06,13025.75
2023-04-07,13159.75
2023-04-10,13140.75
2023-04-11,13151.75
2023-04-12,13073.0
2023-04-13,12973.0
2023-04-14,13198.5
2023-04-17,13181.5
2023-04-18,13168.75
2023-04-19,13171.0
2023-04-20,13140.75
2023-04-21,13092.5
2023-04-24,13051.75
2023-04-25,13012.0
2023-04-26,12970.5
2023-04-27,12953.0
2023-04-28,13201.25
2023-05-01,13334.5
2023-05-02,13300.0
2023-05-03,13188.25
2023-05-04,13149.25
2023-05-05,13111.0
2023-05-08,13313.0
2023-05-09,13341.0
2023-05-10,13271.75
2023-05-11,13433.75
2023-05-12,13481.5
2023-05-15,13390.5
2023-05-16,13458.5
2023-05-17,13515.5
2023-05-18,13644.5
2023-05-19,13929.25
2023-05-22,13871.5
2023-05-23,13937.0
2023-05-24,13744.0
2023-05-25,13837.25
2023-05-26,13951.25
2023-05-29,14393.25
2023-05-30,14388.75
2023-05-31,14380.5
2023-06-01,14280.0
2023-06-02,14507.5
2023-06-05,14528.75
2023-06-06,14588.75
2023-06-07,14586.5
2023-06-08,14307.25
2023-06-09,14499.75
2023-06-12,14588.25
2023-06-13,15047.75
2023-06-14,15098.5
2023-06-15,15196.0
2023-06-16,15346.25
2023-06-19,15271.0
2023-06-20,15238.0
2023-06-21,15254.5
2023-06-22,15028.75
2023-06-23,15156.5
2023-06-26,15101.75
2023-06-27,14875.75
2023-06-28,15063.25
2023-06-29,15147.25
2023-06-30,15122.75
2023-07-03,15352.0
2023-07-04,15349.5
2023-07-05,15344.5
2023-07-06,15299.25
2023-07-07,15233.25
2023-07-10,15129.75
2023-07-11,15195.75
2023-07-12,15276.25
2023-07-13,15501.25
2023-07-14,15723.75
2023-07-17,15676.75
2023-07-18,15813.75
2023-07-19,15963.25
2023-07-20,15883.75
2023-07-21,15602.0
2023-07-24,15546.5
2023-07-25,15561.75
2023-07-26,15651.5
2023-07-27,15700.5
2023-07-28,15613.0
2023-07-31,15806.75
2023-08-01,15867.0
2023-08-02,15727.5
2023-08-03,15478.0
2023-08-04,15512.75
2023-08-07,15435.0
2023-08-08,15433.75
2023-08-09,15374.0
