weekday,total_days,touch_count,snap_back_count,touch_percentage,snap_back_percentage
Monday,206,142,78,68.93203883495146,54.929577464788736
Tuesday,210,144,77,68.57142857142857,53.47222222222222
Wednesday,208,143,86,68.75,60.13986013986013
Thursday,210,141,74,67.14285714285714,52.4822695035461
Friday,206,154,88,74.75728155339806,57.14285714285714
