timestamp,type,hour_c0,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2025-04-20 19:10:00,bullish,19.0,18319.25,18321.0,18307.25,18307.25,18310.0,18311.0,18300.75,18308.75,18309.5,18310.5,18280.5,18286.25,False,False,False,18300.75,34.75,False,True,0.0,14.5
2025-04-20 19:50:00,bearish,19.0,18305.75,18316.5,18305.75,18314.0,18315.5,18318.75,18312.25,18314.75,18313.25,18334.25,18308.0,18323.0,True,False,False,18318.75,17.25,False,True,0.0,4.25
2025-04-20 20:10:00,bearish,20.0,18331.5,18345.5,18323.0,18340.25,18341.25,18348.75,18336.25,18343.0,18344.0,18362.5,18339.5,18357.0,False,False,False,18348.75,34.0,False,True,0.0,8.25
2025-04-20 20:20:00,bearish,20.0,18344.0,18362.5,18339.5,18357.0,18358.0,18365.5,18353.75,18361.75,18362.25,18364.0,18348.0,18355.5,True,False,False,18365.5,16.0,False,True,0.0,10.0
2025-04-20 20:55:00,bullish,20.0,18322.75,18323.25,18298.25,18302.0,18303.0,18309.25,18295.5,18299.75,18296.0,18297.0,18265.0,18272.0,False,False,False,18295.5,51.25,False,True,0.0,23.5
2025-04-20 21:05:00,bullish,21.0,18296.0,18297.0,18265.0,18272.0,18273.5,18282.5,18259.25,18273.25,18274.5,18279.75,18257.0,18266.0,False,False,False,18259.25,31.0,True,False,31.0,6.75
2025-04-20 21:55:00,bearish,21.0,18273.75,18289.0,18271.75,18286.0,18286.25,18300.5,18282.0,18287.25,18288.5,18302.75,18288.5,18302.25,False,False,False,18300.5,30.5,False,True,0.0,1.75
2025-04-20 22:35:00,bullish,22.0,18275.25,18276.5,18214.5,18223.25,18224.0,18227.5,18211.5,18215.0,18215.75,18219.75,18189.0,18196.5,False,False,False,18211.5,80.0,False,True,0.0,15.0
2025-04-21 00:40:00,bullish,0.0,18236.5,18238.25,18220.25,18223.25,18223.75,18224.0,18216.75,18220.5,18221.25,18224.0,18214.5,18216.75,True,False,False,18216.75,21.5,False,True,0.0,0.0
2025-04-21 01:20:00,bullish,1.0,18234.25,18234.75,18227.25,18230.25,18230.25,18232.0,18222.5,18230.0,18230.5,18235.25,18223.25,18223.25,True,True,True,18222.5,11.5,False,True,0.0,0.75
2025-04-21 02:50:00,bearish,2.0,18207.75,18221.25,18205.0,18221.25,18221.25,18225.75,18217.25,18217.5,18219.0,18226.75,18202.25,18204.75,True,True,True,18225.75,-0.25,True,False,-0.25,21.0
2025-04-21 03:00:00,bullish,3.0,18219.0,18226.75,18202.25,18204.75,18204.75,18209.25,18200.0,18204.75,18202.0,18204.0,18172.25,18175.0,False,False,False,18200.0,51.75,False,True,0.0,25.0
2025-04-21 04:00:00,bearish,4.0,18153.75,18191.5,18144.0,18189.5,18189.0,18194.75,18178.0,18179.25,18178.5,18191.25,18170.0,18172.0,True,False,False,18194.75,28.0,True,False,28.0,22.75
2025-04-21 04:35:00,bullish,4.0,18189.5,18190.25,18177.5,18183.25,18183.75,18184.0,18175.0,18180.0,18178.75,18183.0,18168.75,18178.5,False,False,False,18175.0,11.75,False,True,0.0,3.5
2025-04-21 06:00:00,bearish,6.0,18172.25,18177.75,18171.0,18175.5,18176.5,18187.5,18174.25,18175.5,18173.5,18185.0,18165.5,18175.75,True,True,True,18187.5,4.75,True,False,4.75,11.75
2025-04-21 13:00:00,bullish,13.0,17794.5,17812.75,17746.25,17753.0,17751.25,17759.75,17739.0,17747.0,17746.0,17752.75,17731.75,17744.75,False,False,False,17739.0,68.0,False,True,0.0,5.75
2025-04-21 15:35:00,bearish,15.0,17803.75,17851.75,17795.5,17832.0,17834.0,17859.75,17829.0,17846.25,17845.5,17867.0,17828.25,17862.5,True,False,False,17859.75,67.0,False,True,0.0,2.75
2025-04-21 18:35:00,bearish,18.0,17890.5,17912.5,17890.0,17910.25,17908.25,17919.75,17905.0,17911.25,17912.75,17914.0,17902.75,17905.25,True,False,False,17919.75,15.25,False,True,0.0,14.5
2025-04-21 20:35:00,bullish,20.0,17999.25,18006.75,17983.75,17987.0,17986.75,17988.25,17976.0,17987.5,17988.0,17996.0,17983.0,17990.25,True,False,False,17976.0,16.5,True,False,16.5,14.25
2025-04-21 22:05:00,bearish,22.0,18025.0,18037.25,18018.75,18036.75,18036.0,18043.5,18034.25,18036.75,18035.5,18049.0,18034.5,18041.25,False,False,False,18043.5,22.5,True,False,22.5,2.25
2025-04-21 22:25:00,bullish,22.0,18037.0,18037.75,18013.5,18016.5,18015.5,18019.5,18012.0,18014.75,18014.25,18034.75,18013.0,18027.25,True,False,False,18012.0,10.5,True,False,10.5,15.25
2025-04-21 22:35:00,bearish,22.0,18014.25,18034.75,18013.0,18027.25,18028.0,18038.0,18023.0,18024.25,18024.25,18031.5,18018.75,18027.75,True,False,False,18038.0,14.75,True,False,14.75,10.25
2025-04-22 01:10:00,bullish,1.0,18010.5,18012.0,17990.75,17993.0,17993.5,18000.0,17982.0,17994.75,17995.75,17996.0,17975.0,17982.0,False,False,False,17982.0,30.0,False,True,0.0,0.0
2025-04-22 01:20:00,bullish,1.0,17995.75,17996.0,17975.0,17982.0,17982.75,17988.5,17971.75,17988.25,17989.0,17993.0,17984.5,17989.75,True,False,False,17971.75,6.25,True,False,6.25,18.0
2025-04-22 03:10:00,bullish,3.0,18119.5,18124.25,18092.5,18094.5,18095.25,18102.0,18081.25,18095.75,18096.5,18100.0,18084.5,18094.75,False,False,False,18081.25,29.5,False,True,0.0,13.5
