date,breakout_time,snap_back_time,tmo,pattern,pattern_type,risk,potential_reward
2022-07-29,2022-07-29 11:00:00-04:00,2022-07-29 12:00:00-04:00,12889.75,engulfing,bullish,56.0,103.5
2022-08-16,2022-08-16 10:00:00-04:00,2022-08-16 11:00:00-04:00,13663.25,engulfing,bullish,111.0,140.5
2022-08-23,2022-08-23 12:00:00-04:00,2022-08-23 12:00:00-04:00,12933.5,pin_bar,bullish,51.75,51.75
2022-09-02,2022-09-02 11:00:00-04:00,2022-09-02 12:00:00-04:00,12276.75,engulfing,bearish,148.0,158.5
2022-09-14,2022-09-14 10:00:00-04:00,2022-09-14 10:00:00-04:00,12132.5,pin_bar,bullish,39.0,39.0
2022-10-11,2022-10-11 12:00:00-04:00,2022-10-11 12:00:00-04:00,10936.5,engulfing,bullish,23.5,23.5
2022-10-24,2022-10-24 10:00:00-04:00,2022-10-24 11:00:00-04:00,11376.75,engulfing,bullish,56.25,169.0
2022-10-24,2022-10-24 11:00:00-04:00,2022-10-24 11:00:00-04:00,11376.75,engulfing,bullish,56.25,56.25
2022-11-04,2022-11-04 10:00:00-04:00,2022-11-04 11:00:00-04:00,10745.5,engulfing,bearish,161.25,228.75
2022-11-11,2022-11-11 10:00:00-05:00,2022-11-11 10:00:00-05:00,11655.25,engulfing,bullish,62.5,62.5
2022-11-28,2022-11-28 10:00:00-05:00,2022-11-28 10:00:00-05:00,11686.0,engulfing,bearish,83.0,83.0
2022-12-01,2022-12-01 12:00:00-05:00,2022-12-01 12:00:00-05:00,12058.75,pin_bar,bullish,74.25,74.25
2022-12-12,2022-12-12 11:00:00-05:00,2022-12-12 11:00:00-05:00,11557.0,engulfing,bearish,45.75,45.75
2022-12-14,2022-12-14 11:00:00-05:00,2022-12-14 12:00:00-05:00,11998.0,engulfing,bearish,36.75,64.5
2022-12-14,2022-12-14 12:00:00-05:00,2022-12-14 12:00:00-05:00,11998.0,engulfing,bearish,36.75,36.75
2023-01-13,2023-01-13 10:00:00-05:00,2023-01-13 10:00:00-05:00,11491.5,engulfing,bullish,51.0,51.0
2023-01-24,2023-01-24 10:00:00-05:00,2023-01-24 10:00:00-05:00,11929.75,engulfing,bullish,91.5,91.5
2023-01-26,2023-01-26 10:00:00-05:00,2023-01-26 10:00:00-05:00,11916.0,engulfing,bearish,132.5,132.5
2023-02-06,2023-02-06 11:00:00-05:00,2023-02-06 11:00:00-05:00,12567.0,pin_bar,bearish,36.75,36.75
2023-02-14,2023-02-14 12:00:00-05:00,2023-02-14 12:00:00-05:00,12524.25,engulfing,bullish,67.25,67.25
2023-02-22,2023-02-22 10:00:00-05:00,2023-02-22 12:00:00-05:00,12129.0,engulfing,bullish,39.5,95.0
2023-03-08,2023-03-08 10:00:00-05:00,2023-03-08 10:00:00-05:00,12162.0,engulfing,bullish,53.75,53.75
2023-03-16,2023-03-16 10:00:00-04:00,2023-03-16 10:00:00-04:00,12430.0,engulfing,bullish,67.0,67.0
2023-04-18,2023-04-18 12:00:00-04:00,2023-04-18 12:00:00-04:00,13168.75,engulfing,bearish,33.75,33.75
2023-04-20,2023-04-20 10:00:00-04:00,2023-04-20 10:00:00-04:00,13140.75,engulfing,bullish,33.75,33.75
2023-04-26,2023-04-26 10:00:00-04:00,2023-04-26 11:00:00-04:00,12970.5,engulfing,bullish,31.25,74.0
2023-04-28,2023-04-28 10:00:00-04:00,2023-04-28 10:00:00-04:00,13201.25,engulfing,bullish,11.25,11.25
2023-05-01,2023-05-01 10:00:00-04:00,2023-05-01 12:00:00-04:00,13334.5,engulfing,bullish,40.75,57.5
2023-05-01,2023-05-01 11:00:00-04:00,2023-05-01 12:00:00-04:00,13334.5,engulfing,bullish,40.75,75.75
2023-05-03,2023-05-03 12:00:00-04:00,2023-05-03 12:00:00-04:00,13188.25,pin_bar,bullish,39.0,39.0
2023-05-08,2023-05-08 12:00:00-04:00,2023-05-08 12:00:00-04:00,13313.0,pin_bar,bullish,15.75,15.75
2023-05-29,2023-05-29 11:00:00-04:00,2023-05-29 12:00:00-04:00,14393.25,engulfing,bullish,17.5,16.75
2023-06-06,2023-06-06 11:00:00-04:00,2023-06-06 11:00:00-04:00,14588.75,pin_bar,bullish,48.75,48.75
2023-06-12,2023-06-12 10:00:00-04:00,2023-06-12 10:00:00-04:00,14588.25,engulfing,bearish,63.0,63.0
2023-06-13,2023-06-13 10:00:00-04:00,2023-06-13 10:00:00-04:00,15047.75,pin_bar,bullish,84.75,84.75
2023-06-15,2023-06-15 10:00:00-04:00,2023-06-15 10:00:00-04:00,15196.0,engulfing,bullish,11.5,11.5
2023-06-16,2023-06-16 10:00:00-04:00,2023-06-16 10:00:00-04:00,15346.25,engulfing,bearish,68.75,68.75
2023-06-28,2023-06-28 10:00:00-04:00,2023-06-28 10:00:00-04:00,15063.25,engulfing,bullish,20.5,20.5
2023-06-28,2023-06-28 11:00:00-04:00,2023-06-28 12:00:00-04:00,15063.25,engulfing,bearish,155.75,131.75
2023-07-04,2023-07-04 10:00:00-04:00,2023-07-04 10:00:00-04:00,15349.5,engulfing,bearish,17.0,17.0
2023-07-05,2023-07-05 12:00:00-04:00,2023-07-05 12:00:00-04:00,15344.5,engulfing,bearish,32.0,32.0
