Aggregated 3-candle swing-failure stats by Previous Day's Distribution (NY time):
     Prev Day    Hours  Bear Nr. Hit%_Mid Hit%_1st Hit%_Opn Avg_SL Avg_RE Hit_T% Hit_SL%  | Bull Nr. Hit%_Mid_bull Hit%_1st_bull Hit%_Opn_bull Avg_SL_bull Avg_RE_bull Hit_T%_bull Hit_SL%_bull
Slightly Down 05,06,07         1   100.00     0.00     0.00  38.25   6.75   0.00  100.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
Slightly Down 16,17,18         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           1        100.00        100.00        100.00       73.00      102.50      100.00         0.00
         Flat 11,12,13         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           1        100.00          0.00          0.00      103.75      207.50      100.00         0.00
         Flat 20,21,22         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           1        100.00          0.00          0.00       25.25      100.50      100.00         0.00
  Slightly Up 01,02,03         1   100.00   100.00   100.00  41.50  91.25 100.00    0.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
  Slightly Up 02,03,04         1   100.00     0.00     0.00  18.00  46.25   0.00  100.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
  Slightly Up 08,09,10         1     0.00     0.00     0.00   0.00  38.25   0.00  100.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
  Slightly Up 10,11,12         1     0.00     0.00     0.00   0.00  59.00   0.00  100.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
  Slightly Up 16,17,18         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           1        100.00          0.00          0.00       40.00      215.50      100.00         0.00
  Slightly Up 18,19,20         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           1          0.00          0.00          0.00        0.00       38.75        0.00       100.00
  Slightly Up 20,21,22         1   100.00     0.00     0.00  22.25  76.00   0.00  100.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
  Strongly Up 04,05,06         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           1        100.00          0.00          0.00        0.00      175.25        0.00       100.00
  Strongly Up 11,12,13         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           1        100.00          0.00          0.00       72.00       67.25        0.00       100.00
  Strongly Up 13,14,15         2   100.00    50.00    50.00 107.25 133.88  50.00    0.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
  Strongly Up 16,17,18         1     0.00     0.00     0.00  14.50  49.50   0.00  100.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
