timestamp,open,high,low,close,volume
2025-04-20 18:00:00,18306.25,18383.5,18231.25,18290.0,5491
2025-04-20 19:00:00,18286.5,18327.5,18279.0,18314.75,2738
2025-04-20 20:00:00,18313.25,18378.25,18298.25,18302.0,6530
2025-04-20 21:00:00,18303.0,18315.25,18257.0,18286.0,7538
2025-04-20 22:00:00,18286.25,18305.75,18189.0,18217.25,7630
2025-04-20 23:00:00,18218.75,18235.0,18209.25,18220.75,3326
2025-04-21 00:00:00,18221.0,18246.0,18212.5,18220.5,2700
2025-04-21 01:00:00,18221.25,18254.0,18216.25,18245.25,2609
2025-04-21 02:00:00,18245.0,18256.75,18196.75,18217.5,3952
2025-04-21 03:00:00,18219.0,18226.75,18150.5,18153.0,5513
2025-04-21 04:00:00,18153.75,18194.75,18144.0,18172.25,5306
2025-04-21 05:00:00,18172.75,18181.75,18135.0,18171.75,4892
2025-04-21 06:00:00,18172.25,18192.0,18144.5,18188.75,3913
2025-04-21 07:00:00,18187.75,18213.75,18080.0,18106.25,14317
2025-04-21 08:00:00,18105.75,18148.0,18091.0,18122.0,9974
2025-04-21 09:00:00,18121.25,18165.0,17994.0,17994.5,56523
2025-04-21 10:00:00,17994.25,17998.25,17899.75,17931.25,63814
2025-04-21 11:00:00,17931.75,17949.5,17786.5,17796.75,50660
2025-04-21 12:00:00,17796.0,17875.0,17788.25,17794.75,39473
2025-04-21 13:00:00,17794.5,17812.75,17703.0,17712.25,41915
2025-04-21 14:00:00,17712.75,17781.25,17700.0,17709.0,40216
2025-04-21 15:00:00,17708.0,17952.25,17705.25,17922.25,74861
2025-04-21 16:00:00,17922.25,17929.75,17889.75,17914.0,16774
2025-04-21 18:00:00,17914.0,17934.25,17863.75,17893.25,4491
2025-04-21 19:00:00,17893.75,18005.75,17892.75,18003.5,6476
2025-04-21 20:00:00,18003.5,18021.25,17976.0,17996.25,6804
2025-04-21 21:00:00,17997.25,18068.25,17989.0,18030.5,9525
2025-04-21 22:00:00,18030.0,18049.0,18012.0,18028.5,5198
2025-04-21 23:00:00,18030.75,18037.25,17946.25,17981.5,8037
2025-04-22 00:00:00,17981.0,17995.25,17972.25,17986.25,2713
2025-04-22 01:00:00,17984.75,18013.0,17971.75,17998.0,3726
2025-04-22 02:00:00,17997.25,18163.0,17985.0,18146.5,9278
2025-04-22 03:00:00,18147.5,18171.5,18076.5,18086.0,11459
2025-04-22 04:00:00,18085.75,18123.5,18055.25,18113.5,9367
2025-04-22 05:00:00,18114.0,18121.5,18077.0,18093.0,4865
2025-04-22 06:00:00,18092.25,18105.5,18072.75,18094.75,6516
2025-04-22 07:00:00,18096.0,18100.25,18043.75,18055.0,8900
2025-04-22 08:00:00,18054.25,18140.5,18046.25,18138.25,10935
2025-04-22 09:00:00,18138.0,18255.25,18100.5,18253.75,65382
2025-04-22 10:00:00,18253.5,18354.75,18240.75,18340.5,78463
2025-04-22 11:00:00,18340.25,18396.5,18287.25,18378.5,58460
2025-04-22 12:00:00,18378.75,18514.0,18378.75,18450.5,68684
2025-04-22 13:00:00,18449.75,18493.0,18211.25,18223.25,93367
2025-04-22 14:00:00,18223.5,18399.75,18218.0,18382.75,47001
2025-04-22 15:00:00,18383.0,18406.25,18240.5,18380.0,73913
2025-04-22 16:00:00,18379.75,18437.5,18345.0,18359.0,16653
2025-04-22 18:00:00,18646.0,18771.75,18644.0,18765.5,19313
2025-04-22 19:00:00,18764.25,18802.75,18727.0,18760.75,11630
2025-04-22 20:00:00,18761.75,18771.25,18673.25,18701.75,8130
2025-04-22 21:00:00,18700.75,18725.0,18623.75,18640.25,7423
2025-04-22 22:00:00,18642.0,18712.5,18627.25,18683.75,5348
2025-04-22 23:00:00,18684.75,18706.5,18661.5,18702.75,4344
2025-04-23 00:00:00,18702.75,18736.25,18700.0,18724.25,4021
2025-04-23 01:00:00,18724.25,18751.5,18681.75,18740.0,5850
2025-04-23 02:00:00,18739.75,18770.5,18730.5,18735.25,7460
2025-04-23 03:00:00,18735.0,18790.5,18713.5,18782.75,10966
2025-04-23 04:00:00,18782.75,18859.0,18775.0,18830.75,12335
2025-04-23 05:00:00,18832.0,18851.5,18814.0,18844.75,7776
2025-04-23 06:00:00,18845.5,18928.75,18839.0,18919.75,10144
2025-04-23 07:00:00,18919.0,18945.0,18859.75,18859.75,14297
2025-04-23 08:00:00,18860.25,18972.0,18857.75,18966.25,15481
2025-04-23 09:00:00,18966.75,19122.25,18888.5,19074.75,103533
2025-04-23 10:00:00,19074.25,19165.5,18974.0,19061.75,99167
2025-04-23 11:00:00,19062.25,19104.75,18797.25,18876.75,98142
2025-04-23 12:00:00,18876.5,18934.0,18747.0,18916.75,69062
2025-04-23 13:00:00,18915.75,18966.25,18832.0,18925.75,52280
2025-04-23 14:00:00,18927.5,18959.0,18846.75,18869.5,48528
2025-04-23 15:00:00,18869.25,18894.25,18729.75,18788.25,81813
2025-04-23 16:00:00,18788.0,18927.0,18771.0,18850.0,26871
2025-04-23 18:00:00,18826.5,18842.25,18740.5,18819.25,6122
2025-04-23 19:00:00,18815.25,18857.5,18806.25,18839.5,4271
2025-04-23 20:00:00,18840.0,18875.75,18826.25,18841.25,5914
2025-04-23 21:00:00,18841.75,18850.0,18770.5,18771.25,6600
2025-04-23 22:00:00,18771.0,18807.0,18747.0,18748.0,5600
2025-04-23 23:00:00,18747.0,18763.5,18735.25,18757.5,3508
2025-04-24 00:00:00,18756.75,18769.25,18710.75,18763.75,5040
2025-04-24 01:00:00,18764.25,18781.75,18678.5,18710.5,6096
2025-04-24 02:00:00,18711.5,18779.0,18706.0,18743.75,7125
2025-04-24 03:00:00,18744.25,18755.0,18650.75,18676.0,14046
2025-04-24 04:00:00,18675.25,18704.5,18594.75,18629.75,13298
2025-04-24 05:00:00,18630.0,18696.0,18630.0,18693.75,7721
2025-04-24 06:00:00,18695.25,18839.5,18693.5,18817.0,15185
2025-04-24 07:00:00,18816.25,18823.0,18729.5,18769.25,15950
2025-04-24 08:00:00,18769.5,18865.75,18769.0,18851.0,16831
2025-04-24 09:00:00,18853.0,19060.5,18824.0,19051.75,63845
