timestamp,open,high,low,close,volume,open interest
2025-04-21,18306.25,18383.5,17700.0,17922.25,484750,241194
2025-04-22,17914.0,18514.0,17863.75,18385.0,619146,240802
2025-04-23,18646.0,19165.5,18623.75,18804.0,733977,237942
2025-04-24,18826.5,19418.0,18594.75,19322.0,599457,239463
2025-04-25,19405.0,19589.0,19216.25,19535.25,587589,243024
2025-04-28,19524.5,19623.0,19257.25,19528.0,514474,244629
2025-04-29,19478.25,19688.5,19378.0,19642.0,565539,245180
2025-04-30,19599.75,19880.0,19103.75,19658.5,713642,250213
2025-05-01,19834.0,20125.75,19757.25,19870.75,588901,249872
2025-05-02,19782.5,20276.75,19749.5,20195.25,517806,255908
2025-05-05,20181.5,20201.75,19966.0,20055.5,408062,0
