timestamp,type,hour_c0,prev_1d_cat,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2021-04-30 19:00:00,bearish,19.0,Not Analyzed,13856.5,13877.0,13827.0,13861.0,13861.25,13882.0,13860.75,13865.25,13880.25,13888.75,13870.0,13882.25,False,False,False,0.0,14.25,False,True,0.0,0.25
2021-05-03 10:00:00,bearish,10.0,Not Analyzed,13860.75,13893.0,13858.75,13876.0,13876.75,13900.0,13876.5,13889.75,13889.0,13913.5,13885.0,13899.75,False,False,False,0.25,127.75,True,True,0.0,0.25
2021-05-03 11:00:00,bearish,11.0,Not Analyzed,13876.75,13900.0,13876.5,13889.75,13889.0,13913.5,13885.0,13899.75,13899.5,13916.25,13851.0,13874.75,True,True,True,38.75,102.75,True,True,0.0,38.75
2021-05-03 15:00:00,bullish,15.0,Not Analyzed,13847.75,13847.75,13775.75,13813.5,13813.5,13821.5,13772.0,13791.0,13791.25,13810.0,13773.5,13795.0,False,False,False,23.0,25.5,False,True,0.0,23.0
2021-05-04 19:00:00,bearish,19.0,Not Analyzed,13478.75,13544.0,13453.25,13543.25,13543.5,13552.75,13514.75,13521.75,13525.75,13529.75,13507.75,13520.75,True,False,False,32.0,9.25,False,True,0.0,32.0
2021-05-04 20:00:00,bullish,20.0,Not Analyzed,13543.5,13552.75,13514.75,13521.75,13525.75,13529.75,13507.75,13520.75,13521.0,13527.75,13511.5,13525.25,False,False,False,17.5,58.5,True,False,18.25,17.5
2021-05-05 08:00:00,bearish,8.0,Not Analyzed,13568.5,13605.0,13568.5,13591.5,13591.25,13612.25,13590.0,13599.25,13599.75,13624.0,13598.25,13616.75,False,False,False,0.0,87.5,True,True,0.0,4.5
2021-05-05 16:00:00,bullish,16.0,Not Analyzed,13626.5,13631.5,13566.0,13570.5,13570.5,13595.5,13549.0,13572.25,13572.75,13576.5,13539.75,13542.75,False,False,False,0.0,6.0,False,True,0.0,6.25
2021-05-06 00:00:00,bearish,0.0,Not Analyzed,13500.0,13526.5,13497.25,13515.0,13515.0,13529.25,13511.5,13522.25,13522.5,13524.5,13455.5,13471.0,True,True,True,58.25,20.0,True,True,0.0,58.25
2021-05-06 02:00:00,bullish,2.0,Not Analyzed,13522.5,13524.5,13455.5,13471.0,13469.5,13477.25,13451.0,13473.0,13473.25,13483.75,13459.75,13473.75,True,False,False,22.75,96.75,True,False,48.75,22.75
2021-05-06 15:00:00,bearish,15.0,Not Analyzed,13465.5,13564.0,13407.5,13546.25,13546.25,13591.25,13529.25,13562.5,13562.25,13573.75,13488.5,13492.5,True,False,False,98.75,26.25,False,True,0.0,98.75
2021-05-06 20:00:00,bearish,20.0,Not Analyzed,13596.75,13611.5,13592.0,13605.75,13614.5,13621.25,13607.0,13608.25,13608.25,13618.75,13605.75,13612.25,True,False,False,9.0,9.25,False,True,0.0,9.0
2021-05-07 18:00:00,bearish,18.0,Not Analyzed,13681.25,13724.5,13662.25,13719.75,13720.0,13747.75,13702.25,13706.5,13706.75,13724.25,13705.25,13715.5,False,False,False,32.25,4.5,False,True,0.0,32.25
2021-05-09 22:00:00,bearish,22.0,Not Analyzed,13718.0,13742.0,13711.0,13737.0,13737.0,13746.0,13730.25,13739.0,13738.75,13745.25,13726.0,13740.25,True,False,False,5.75,34.5,True,True,0.0,5.75
2021-05-10 04:00:00,bullish,4.0,Not Analyzed,13725.75,13735.0,13716.75,13722.25,13721.75,13722.25,13705.75,13720.25,13720.75,13725.5,13653.75,13678.0,True,False,False,0.0,11.5,False,True,0.0,27.75
2021-05-10 06:00:00,bullish,6.0,Not Analyzed,13720.75,13725.5,13653.75,13678.0,13677.5,13683.0,13636.5,13666.75,13667.25,13689.5,13655.5,13660.25,True,False,False,23.75,24.5,False,True,0.0,23.75
2021-05-11 05:00:00,bearish,5.0,Not Analyzed,13216.25,13275.0,13215.5,13265.0,13265.0,13276.5,13249.0,13262.75,13263.75,13270.25,13140.0,13194.75,True,True,True,81.75,115.5,True,False,21.5,81.75
2021-05-12 03:00:00,bullish,3.0,Not Analyzed,13291.25,13296.0,13221.5,13234.0,13233.75,13244.75,13184.75,13242.0,13241.0,13286.5,13239.75,13245.5,True,False,False,60.75,92.5,True,False,45.75,60.75
2021-05-13 07:00:00,bullish,7.0,Not Analyzed,13030.75,13058.0,12942.75,12962.0,12962.0,12972.75,12915.0,12950.75,12952.0,12985.25,12937.75,12956.75,True,False,False,41.75,267.0,True,False,74.0,41.75
2021-05-13 18:00:00,bearish,18.0,Not Analyzed,13040.5,13156.25,13038.25,13123.5,13124.5,13169.5,13092.75,13097.5,13097.75,13098.5,13066.0,13091.25,True,False,False,78.25,20.25,False,True,0.0,78.25
2021-05-17 04:00:00,bearish,4.0,Not Analyzed,13350.75,13381.25,13341.5,13366.0,13366.25,13398.25,13358.75,13362.0,13362.25,13394.25,13355.25,13366.5,True,False,False,31.75,59.5,True,False,15.75,31.75
2021-05-18 06:00:00,bearish,6.0,Not Analyzed,13379.0,13424.5,13374.75,13417.25,13418.0,13432.25,13408.0,13410.75,13411.5,13412.5,13395.75,13399.75,True,False,False,32.5,99.75,True,False,20.75,32.5
2021-05-19 16:00:00,bearish,16.0,Not Analyzed,13132.75,13172.25,13115.0,13150.5,13150.5,13198.0,13146.25,13164.0,13165.0,13243.0,13103.25,13148.25,True,True,True,49.75,24.0,True,True,0.0,49.75
2021-05-19 22:00:00,bullish,22.0,Not Analyzed,13220.5,13227.0,13180.75,13182.5,13182.25,13192.25,13177.0,13185.5,13185.75,13239.5,13179.75,13217.0,True,True,True,40.0,17.75,True,False,3.5,40.0
2021-05-20 08:00:00,bullish,8.0,Not Analyzed,13241.25,13243.75,13166.0,13186.75,13186.5,13190.75,13150.75,13169.25,13169.5,13195.75,13157.25,13195.0,True,False,False,44.25,308.75,True,False,46.25,44.25
2021-05-21 15:00:00,bullish,15.0,Not Analyzed,13472.5,13485.5,13414.75,13419.75,13420.0,13441.0,13398.25,13422.0,13422.0,13453.5,13407.0,13444.75,True,False,False,46.5,18.0,False,True,0.0,46.5
2021-05-24 09:00:00,bearish,9.0,Not Analyzed,13463.5,13498.0,13462.75,13495.5,13495.25,13498.75,13483.75,13491.75,13492.0,13497.5,13476.75,13496.25,True,False,False,2.5,2.75,False,True,0.0,2.5
2021-05-25 02:00:00,bearish,2.0,Not Analyzed,13656.0,13670.0,13651.25,13666.0,13666.75,13678.5,13664.75,13669.5,13669.0,13672.5,13665.25,13670.0,False,False,False,8.5,2.75,False,True,0.0,8.5
2021-05-27 20:00:00,bearish,20.0,Not Analyzed,13652.25,13694.0,13650.0,13692.75,13694.75,13697.75,13685.25,13691.5,13691.75,13708.5,13682.75,13703.0,True,False,False,0.0,18.75,False,True,0.0,5.25
2021-05-27 23:00:00,bearish,23.0,Not Analyzed,13691.75,13708.5,13682.75,13703.0,13703.25,13716.0,13699.0,13704.5,13704.75,13707.5,13686.25,13690.25,True,False,True,25.75,27.5,True,False,1.5,25.75
2021-05-28 01:00:00,bullish,1.0,Not Analyzed,13704.75,13707.5,13686.25,13690.25,13690.75,13697.25,13684.25,13693.0,13693.0,13702.5,13693.0,13700.5,True,False,False,16.25,1.5,False,True,0.0,16.25
2021-05-28 05:00:00,bullish,5.0,Not Analyzed,13696.5,13702.0,13672.0,13675.75,13675.0,13676.25,13662.75,13676.0,13675.25,13691.25,13666.75,13685.75,True,False,False,23.0,40.25,True,False,10.75,23.0
2021-05-31 02:00:00,bullish,2.0,Not Analyzed,13704.25,13709.5,13693.5,13700.5,13700.75,13701.75,13690.25,13698.0,13697.25,13699.25,13693.0,13694.75,False,False,False,4.5,17.25,True,True,0.0,4.5
