Aggregated 3-candle swing-failure stats for TradingView data (NY time):
Total patterns found: 1737
   Hours  Bear Nr. Hit%_Mid Hit%_1st Hit%_Opn Avg_SL Avg_RE Hit_T% Hit_SL%  | Bull Nr. Hit%_Mid_bull Hit%_1st_bull Hit%_Opn_bull Avg_SL_bull Avg_RE_bull Hit_T%_bull Hit_SL%_bull
00,01,02        48    77.08     6.25    10.42  18.65  37.81  47.92   77.08          47         53.19         12.77         19.15       21.36       34.32       53.19        61.70
01,02,03        52    65.38     3.85     9.62  19.61  38.39  51.92   76.92          46         67.39          6.52         10.87       30.72       45.29       60.87        65.22
02,03,04        53    56.60     3.77     9.43   8.83  41.84  60.38   86.79          51         54.90          9.80         17.65       17.04       57.26       68.63        70.59
03,04,05        44    81.82    18.18    25.00  13.11  49.55  63.64   86.36          41         82.93         39.02         46.34       23.04       52.90       82.93        60.98
04,05,06        30    86.67    26.67    30.00  22.92  49.47  70.00   90.00          18         88.89         33.33         44.44       16.81       36.90       61.11        77.78
05,06,07        37    72.97    27.03    29.73  26.03  89.13  62.16   67.57          26         76.92         26.92         42.31       21.42       65.71       69.23        65.38
06,07,08        24    66.67     8.33    16.67  16.99  77.60  58.33   66.67          29         65.52         24.14         31.03       18.88       63.40       72.41        86.21
07,08,09        37    62.16    18.92    21.62  37.15 106.30  83.78   78.38          30         66.67          3.33         10.00       28.21       91.82       73.33        80.00
08,09,10        46    65.22    10.87    15.22  19.81 124.85  76.09   89.13          44         79.55          9.09         20.45       32.55       97.62       68.18        70.45
09,10,11        49    69.39    10.20    14.29  22.56 139.78  69.39   87.76          37         67.57          8.11         18.92       24.99       92.07       81.08        86.49
10,11,12        32    62.50    25.00    34.38  21.61 123.19  87.50   84.38          26         69.23         26.92         30.77       52.06      107.42       76.92        84.62
11,12,13        22    86.36    54.55    63.64  46.44 138.64  90.91   63.64          21         80.95         38.10         38.10       37.73      110.46       90.48        80.95
12,13,14        13    84.62    30.77    38.46  25.44  85.81  38.46   92.31          16         87.50         31.25         37.50       69.89      153.02       62.50        56.25
13,14,15        27    55.56    14.81    25.93  64.51 111.68  37.04   59.26          29         62.07         10.34         27.59       76.11       76.27       51.72        44.83
14,15,16        39    58.97     5.13    10.26  51.13  83.80  35.90   74.36          49         75.51          2.04          8.16       67.45       75.62       32.65        57.14
15,16,17        54    68.52    11.11    22.22  47.07  67.85  42.59   68.52          56         67.86          5.36         14.29       62.80       72.33       37.50        67.86
16,17,18        49    63.27    18.37    18.37  38.16  56.77  40.82   63.27          44         63.64         20.45         25.00       64.41       88.12       50.00        45.45
17,18,19        39    79.49    15.38    30.77  42.31  57.19  35.90   53.85          40         65.00         25.00         27.50       47.16       43.42       37.50        47.50
18,19,20        29    51.72     6.90    10.34  44.14  32.26  27.59   48.28          29         48.28          3.45          3.45       52.64       29.39       20.69        44.83
19,20,21        45    53.33     4.44     6.67  23.34  24.83  15.56   57.78          48         66.67          8.33         12.50       40.95       37.49       33.33        43.75
20,21,22        42    52.38     0.00     4.76  14.08  28.48  16.67   80.95          54         70.37          7.41         16.67       34.50       35.07       33.33        59.26
21,22,23        13    76.92     7.69     7.69  29.88  56.87  30.77   53.85           7         42.86          0.00          0.00       17.50       42.82       57.14        71.43
22,23,00        23    69.57    21.74    26.09  20.91  32.38  34.78   73.91          43         60.47         18.60         20.93       22.80       36.63       39.53        65.12
23,00,01        27    70.37    22.22    40.74  19.86  37.22  59.26   55.56          32         71.88         15.62         25.00       15.68       32.55       59.38        59.38
