timestamp,type,hour_c0,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_reward_target,hit_stop_loss,reward_achieved,risk_taken
2025-04-21 07:00:00,bullish,7.0,18187.75,18213.75,18080.5,18111.5,18112.25,18119.5,18080.0,18106.25,18105.75,18126.5,18091.0,18122.5,True,False,False,42.5,42.5,False,True,0.0,42.5
2025-04-21 08:00:00,bearish,8.0,18105.75,18126.5,18091.0,18122.5,18122.5,18148.0,18114.25,18122.0,18121.25,18132.0,18090.0,18128.5,True,True,True,19.5,428.5,False,True,0.0,19.5
2025-04-21 19:30:00,bearish,19.0,17907.5,18005.75,17901.75,18003.5,18003.5,18021.25,17985.75,17996.75,17997.5,18006.75,17976.0,17996.25,True,False,False,25.0,50.0,False,True,0.0,25.0
2025-04-21 21:00:00,bearish,21.0,17997.25,18055.25,17989.0,18043.5,18044.0,18068.25,18021.25,18030.5,18030.0,18049.0,18013.5,18016.5,True,False,False,51.75,70.25,True,False,19.25,51.75
2025-04-22 03:00:00,bullish,3.0,18147.5,18171.5,18081.25,18103.5,18104.25,18115.75,18076.5,18086.0,18085.75,18097.5,18055.25,18085.5,False,False,False,9.0,72.0,False,True,0.0,9.0
2025-04-22 10:30:00,bearish,10.0,18279.25,18354.75,18244.0,18340.5,18340.25,18386.0,18338.0,18351.5,18351.75,18396.5,18287.25,18378.5,True,False,False,7.5,167.25,False,True,0.0,7.5
2025-04-22 15:30:00,bearish,15.0,18272.25,18406.25,18240.5,18380.0,18379.75,18437.5,18345.0,18371.0,18372.0,18382.0,18348.75,18359.0,False,False,False,78.5,0.0,False,True,0.0,78.5
2025-04-22 20:00:00,bullish,20.0,18761.75,18771.25,18696.0,18698.25,18699.0,18704.75,18673.25,18701.75,18700.75,18725.0,18687.5,18704.5,True,False,False,31.25,66.0,False,True,0.0,31.25
2025-04-23 04:00:00,bearish,4.0,18782.75,18841.0,18775.0,18817.25,18817.0,18859.0,18815.5,18830.75,18832.0,18850.25,18829.25,18834.0,False,False,False,25.0,20.0,False,True,0.0,25.0
2025-04-24 03:00:00,bullish,3.0,18744.25,18755.0,18664.75,18700.75,18702.25,18704.25,18650.75,18676.0,18675.25,18704.5,18633.25,18634.5,True,False,False,0.0,242.5,False,True,0.0,16.25
2025-04-24 22:00:00,bullish,22.0,19410.75,19422.75,19376.0,19378.25,19378.25,19389.25,19363.0,19384.5,19382.5,19428.0,19367.0,19406.0,True,True,True,43.0,91.5,True,False,4.75,43.0
2025-04-25 03:00:00,bullish,3.0,19462.0,19465.75,19386.75,19401.5,19402.25,19426.25,19373.25,19417.25,19416.5,19451.5,19398.0,19420.25,True,False,False,47.0,11.5,False,True,0.0,47.0
2025-04-25 04:30:00,bullish,4.0,19418.75,19431.75,19383.5,19403.5,19403.75,19404.0,19344.25,19398.5,19398.5,19401.0,19367.0,19396.75,False,False,False,52.5,19.25,False,True,0.0,52.5
2025-04-25 10:30:00,bearish,10.0,19271.5,19363.25,19233.75,19338.0,19337.75,19393.0,19310.25,19348.75,19349.0,19377.0,19309.25,19362.75,True,False,False,30.25,13.0,False,True,0.0,30.25
