Aggregated 3-candle swing-failure stats for 30-minute data by Hour (NY time of C0):
   Hours  Bear Nr.  Hit%   Mid%  1st%   Opn%  | Bull Nr. Hit%_bull Mid%_bull 1st%_bull Opn%_bull
02,03,04         1  5.56 100.00  0.00   0.00           0      0.00      0.00      0.00      0.00
03,04,05         1  5.56 100.00  0.00   0.00           3     20.00     66.67      0.00      0.00
04,05,06         1  5.56   0.00  0.00   0.00           1      6.67      0.00      0.00      0.00
06,07,08         0  0.00   0.00  0.00   0.00           1      6.67    100.00      0.00    100.00
07,08,09         0  0.00   0.00  0.00   0.00           1      6.67    100.00      0.00      0.00
08,09,10         3 16.67 100.00 66.67  66.67           1      6.67      0.00      0.00      0.00
10,11,12         2 11.11 100.00  0.00   0.00           0      0.00      0.00      0.00      0.00
11,12,13         0  0.00   0.00  0.00   0.00           1      6.67      0.00      0.00      0.00
12,13,14         1  5.56 100.00  0.00 100.00           0      0.00      0.00      0.00      0.00
14,15,16         2 11.11  50.00 50.00  50.00           0      0.00      0.00      0.00      0.00
15,16,17         1  5.56   0.00  0.00   0.00           0      0.00      0.00      0.00      0.00
16,17,18         0  0.00   0.00  0.00   0.00           3     20.00      0.00      0.00      0.00
18,19,20         0  0.00   0.00  0.00   0.00           1      6.67    100.00      0.00      0.00
19,20,21         1  5.56 100.00  0.00   0.00           0      0.00      0.00      0.00      0.00
20,21,22         2 11.11   0.00  0.00   0.00           1      6.67    100.00      0.00      0.00
21,22,23         1  5.56 100.00  0.00   0.00           0      0.00      0.00      0.00      0.00
22,23,00         2 11.11  50.00  0.00   0.00           2     13.33     50.00     50.00     50.00
