time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1620126000,13743.75,13753,13650.25,13688.75,13744,13753,13650.25,13688.75
1620129600,13688,13692.75,13654.75,13682,13688.75,13692.75,13654.75,13682
1620133200,13682,13696.5,13535.25,13543.25,13682,13696.5,13535.25,13543.25
1620136800,13543.5,13552.5,13471,13478.5,13543.25,13552.5,13471,13478.5
1620140400,13478.25,13497.25,13380.75,13402.25,13478.5,13497.25,13380.75,13402.25
1620144000,13401.75,13451,13394.25,13410.5,13402.25,13451,13394.25,13410.5
1620147600,13410.5,13462.75,13405.25,13435.25,13410.5,13462.75,13405.25,13435.25
1620151200,13435.5,13491,13422.5,13479,13435.25,13491,13422.5,13479
1620154800,13478.75,13544,13453.25,13543.25,13479,13544,13453.25,13543.25
1620158400,13543.5,13552.75,13514.75,13521.75,13543.25,13552.75,13514.75,13521.75
1620165600,13525.75,13529.75,13507.75,13520.75,13521.75,13529.75,13507.75,13520.75
1620169200,13521,13527.75,13511.5,13525.25,13520.75,13527.75,13511.5,13525.25
1620172800,13525.25,13561.25,13523,13557,13525.25,13561.25,13523,13557
1620176400,13557,13577.75,13545,13570.5,13557,13577.75,13545,13570.5
1620180000,13570.5,13582.25,13567.75,13578.75,13570.5,13582.25,13567.75,13578.75
1620183600,13579.25,13583.75,13571,13574.25,13578.75,13583.75,13571,13574.25
1620187200,13574.5,13577.75,13567.75,13574.75,13574.25,13577.75,13567.75,13574.75
1620190800,13574.5,13574.75,13527.25,13559,13574.75,13574.75,13527.25,13559
1620194400,13559.25,13566.5,13531.5,13541.75,13559,13566.5,13531.5,13541.75
1620198000,13542.25,13580,13539,13568.25,13541.75,13580,13539,13568.25
1620201600,13568.5,13605,13568.5,13591.5,13568.25,13605,13568.5,13591.5
1620205200,13591.25,13612.25,13590,13599.25,13591.5,13612.25,13590,13599.25
1620208800,13599.75,13624,13598.25,13616.75,13599.25,13624,13598.25,13616.75
1620212400,13616.5,13630.75,13597.75,13618.5,13616.75,13630.75,13597.75,13618.5
1620216000,13619,13653.25,13593.25,13622,13618.5,13653.25,13593.25,13622
1620219600,13622.25,13665.5,13590,13595.5,13622,13665.5,13590,13595.5
1620223200,13596.5,13621,13529.25,13613.5,13595.5,13621,13529.25,13613.5
1620226800,13613.25,13630,13575.5,13626,13613.5,13630,13575.5,13626
1620230400,13626.5,13631.5,13566,13570.5,13626,13631.5,13566,13570.5
1620234000,13570.5,13595.5,13549,13572.25,13570.5,13595.5,13549,13572.25
1620237600,13572.75,13576.5,13539.75,13542.75,13572.25,13576.5,13539.75,13542.75
1620241200,13542.25,13548.75,13462.75,13494,13542.75,13548.75,13462.75,13494
1620244800,13494,13502,13476,13483.5,13494,13502,13476,13483.5
1620252000,13484,13496.25,13471.5,13472,13483.5,13496.25,13471.5,13472
1620255600,13473.25,13502,13473,13500,13472,13502,13473,13500
1620259200,13500,13526.5,13497.25,13515,13500,13526.5,13497.25,13515
1620262800,13515,13529.25,13511.5,13522.25,13515,13529.25,13511.5,13522.25
1620266400,13522.5,13524.5,13455.5,13471,13522.25,13524.5,13455.5,13471
1620270000,13469.5,13477.25,13451,13473,13471,13477.25,13451,13473
1620273600,13473.25,13483.75,13459.75,13473.75,13473,13483.75,13459.75,13473.75
1620277200,13473.5,13511.5,13473.5,13509.25,13473.75,13511.5,13473.5,13509.25
1620280800,13508.5,13521.75,13498.5,13520.5,13509.25,13521.75,13498.5,13520.5
1620284400,13520.5,13570.5,13515.75,13537.5,13520.5,13570.5,13515.75,13537.5
1620288000,13537,13557.75,13514.25,13529,13537.5,13557.75,13514.25,13529
1620291600,13530.25,13548.5,13490.75,13511.5,13529,13548.5,13490.75,13511.5
1620295200,13512.75,13546,13508.75,13510.25,13511.5,13546,13508.75,13510.25
1620298800,13509.75,13529.5,13497.5,13506,13510.25,13529.5,13497.5,13506
1620302400,13505.5,13516.5,13461,13476.25,13506,13516.5,13461,13476.25
1620306000,13476.25,13509,13424.5,13427.75,13476.25,13509,13424.5,13427.75
1620309600,13427.5,13488,13388.75,13465,13427.75,13488,13388.75,13465
1620313200,13465.5,13564,13407.5,13546.25,13465,13564,13407.5,13546.25
1620316800,13546.25,13591.25,13529.25,13562.5,13546.25,13591.25,13529.25,13562.5
1620320400,13562.25,13573.75,13488.5,13492.5,13562.5,13573.75,13488.5,13492.5
1620324000,13492.5,13525.5,13466.25,13486.5,13492.5,13525.5,13466.25,13486.5
1620327600,13486.25,13603.75,13476,13596.5,13486.5,13603.75,13476,13596.5
